source,target,link_type,confidence,evidence,evidence_url
H4421,S343,text_identical,verified-text-comparison,normalized 8-gram Jaccard 0.946 between official texts,https://malegislature.gov/Bills/193/H4421
H4632,S2770,text_identical,verified-text-comparison,normalized 8-gram Jaccard 0.999 between official texts,https://malegislature.gov/Bills/193/H4632
H530,S2666,text_identical,verified-text-comparison,normalized 8-gram Jaccard 0.946 between official texts,https://malegislature.gov/Bills/193/H530
H530,S343,text_identical,verified-text-comparison,normalized 8-gram Jaccard 1.000 between official texts,https://malegislature.gov/Bills/193/H530
H532,S280,text_identical,verified-text-comparison,normalized 8-gram Jaccard 1.000 between official texts,https://malegislature.gov/Bills/193/H532
H60,S227,text_identical,verified-text-comparison,normalized 8-gram Jaccard 1.000 between official texts,https://malegislature.gov/Bills/193/H60
H76,S30,text_identical,verified-text-comparison,normalized 8-gram Jaccard 0.977 between official texts,https://malegislature.gov/Bills/193/H76
H83,S25,text_near_identical,verified-text-comparison,normalized 8-gram Jaccard 0.584 between official texts,https://malegislature.gov/Bills/193/H83
S1012,S1139,text_identical,verified-text-comparison,normalized 8-gram Jaccard 0.997 between official texts,https://malegislature.gov/Bills/193/S1012
S2666,S343,text_identical,verified-text-comparison,normalized 8-gram Jaccard 0.946 between official texts,https://malegislature.gov/Bills/193/S2666
H4517,,study_order_terminal,verified-official-record,Discharged to the committee on House Rules; No further action taken,https://malegislature.gov/Bills/193/H4517
H4570,,study_order_terminal,verified-official-record,Discharged to the committee on House Rules; No further action taken,https://malegislature.gov/Bills/193/H4570
H4578,,study_order_terminal,verified-official-record,Discharged to the committee on House Rules; No further action taken,https://malegislature.gov/Bills/193/H4578
H4680,,study_order_terminal,verified-official-record,Order reported favorably by committee and referred to the committee on Joint Rules; Discharged to the committee on House Rules,https://malegislature.gov/Bills/193/H4680
H4712,,study_order_terminal,verified-official-record,Discharged to the committee on House Rules; No further action taken,https://malegislature.gov/Bills/193/H4712
H4714,,study_order_terminal,verified-official-record,Discharged to the committee on House Rules; No further action taken,https://malegislature.gov/Bills/193/H4714
H4902,,study_order_terminal,verified-official-record,Discharged to the committee on House Rules; No further action taken,https://malegislature.gov/Bills/193/H4902
S2612,,study_order_terminal,verified-official-record,Reported (in part) S2538; No further action taken,https://malegislature.gov/Bills/193/S2612
S2630,,study_order_terminal,verified-official-record,Discharged to the committee on Senate Rules; No further action taken,https://malegislature.gov/Bills/193/S2630
S2648,,study_order_terminal,verified-official-record,Discharged to the committee on Senate Rules; No further action taken,https://malegislature.gov/Bills/193/S2648
S2777,,study_order_terminal,verified-official-record,Discharged to the committee on Senate Rules; No further action taken,https://malegislature.gov/Bills/193/S2777
S2926,,study_order_terminal,verified-official-record,Discharged to the committee on Senate Rules; No further action taken,https://malegislature.gov/Bills/193/S2926
P-016,P-042,proposition_kinship,inferred-needs-review,Data broker registration: OCABR registry (MDPPA) vs AG registry with central opt-out (MIPSA),memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
P-042,P-065,proposition_kinship,inferred-needs-review,Data-seller registration: AG privacy registry (MIPSA) vs DOR tax-base registration (S1896),memo/atomization/family-mipsa-internet.md
P-001,P-031,proposition_kinship,inferred-needs-review,Data minimization: MDPPA duty-of-loyalty purposes vs GDPR-style principles (MIPSA/H1555),memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
P-004,P-035,proposition_kinship,inferred-needs-review,Sensitive data: strict-necessity bar (MDPPA) vs consent-gate/prohibition (MIPSA/H1555),memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
P-271,P-275,proposition_kinship,inferred-needs-review,Access right: MDPPA access (bundle section) vs GDPR-style access article,memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
P-273,P-037,proposition_kinship,inferred-needs-review,Deletion right: MDPPA delete vs GDPR-style erasure,memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
P-272,P-038,proposition_kinship,inferred-needs-review,Correction right: MDPPA correct vs GDPR-style rectification,memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
P-274,P-276,proposition_kinship,inferred-needs-review,Export/portability right: MDPPA export vs GDPR-style portability,memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
P-012,P-034,proposition_kinship,inferred-needs-review,Opt-out of transfers/targeted ads: MDPPA vs MIPSA sale/ads opt-out with universal signal,memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
P-012,P-053,proposition_kinship,inferred-needs-review,Opt-out vs GDPR objection right for direct marketing (H1555),memo/atomization/family-mipsa-internet.md
P-014,P-019,proposition_kinship,inferred-needs-review,Universal opt-out signals (redraft) vs OCABR centralized opt-out mechanism (filed),memo/atomization/family-comprehensive-mdppa.md
P-009,P-040,proposition_kinship,inferred-needs-review,Anti-retaliation/nondiscrimination for exercising rights: MDPPA vs MIPSA,memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
P-017,P-044,proposition_kinship,inferred-needs-review,Civil-rights processing ban: MDPPA vs MIPSA,memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
P-018,P-043,proposition_kinship,inferred-needs-review,Algorithmic/risk assessments: MDPPA impact assessments vs MIPSA/H1555 risk assessments-DPIA,memo/atomization/family-comprehensive-mdppa.md; memo/atomization/family-mipsa-internet.md
