bill_number,docket_number,title,docket_only,primary_sponsor,domain_title_terms,broad_title_terms,committee_net,url
,HD5564,A communication from the Department of Elementary and Secondary Education (see Section 89(kk) of Chapter 71 of the General Laws) submitting the Charter School Data annual report for fiscal year 2023,no,Department of Elementary and Secondary Education,,data,,
,HD5570,A communication from the Department of Public Health (see Section 2 of Chapter 111 of the General Laws) submitting a report summarizing the birth data and statistics for calendar year 2022,no,Department of Public Health,,data,,
,HD5571,A communication from the Department of Public Health (see Section 2 of Chapter 111 of the General Laws) submitting a report summarizing mortality data and statistics for calendar year 2022,no,Department of Public Health,,data,,
,HD5587,"A report of the Southeastern Regional Transit Authority (under Section 8(g) of Chapter 161B of the General Laws) submitting its financial statements and supplementary information for fiscal years ending June 30, 2023, and June 30, 2024",no,Southeastern Regional Transit Authority,,information,,
,SD3612,Data Collection for Government Assisted Housing in Massachusetts FY24 Report,no,Executive Office of Housing and Livable Communities,,data,,
H105,HD3149,An Act relative to data transparency in the cannabis industry,no,Daniel M. Donahue,,data,,https://malegislature.gov/Bills/193/H105
H1051,HD1715,An Act relative to establishing a financial technology task force,no,"Bradley H. Jones, Jr.",,technology,,https://malegislature.gov/Bills/193/H1051
H1059,HD2040,An Act relative to electronic automobile insurance charges,no,"Bradley H. Jones, Jr.",,electronic,,https://malegislature.gov/Bills/193/H1059
H1131,HD1778,"An Act relating to patient cost, benefit and coverage information, choice, and price transparency",no,Jeffrey N. Roy,,information,,https://malegislature.gov/Bills/193/H1131
H1169,HD1544,An Act providing Medicaid coverage for tobacco cessation programs and information,no,Christine P. Barber,,information,,https://malegislature.gov/Bills/193/H1169
H1212,HD2354,An Act relative to determination of need of new technology,no,Meghan K. Kilcoyne,,technology,,https://malegislature.gov/Bills/193/H1212
H1222,HD3260,An Act to ensure uniform and transparent reporting of medical debt data,no,John J. Mahoney,,data,,https://malegislature.gov/Bills/193/H1222
H1238,HD2828,An Act to improve patient care through integrated electronic health records,no,Daniel J. Ryan,,electronic,,https://malegislature.gov/Bills/193/H1238
H1283,HD3629,An Act protecting public higher education student information,no,Michael J. Moran,,information,,https://malegislature.gov/Bills/193/H1283
H1308,HD3851,An Act relative to the use of credit reporting in housing,no,Manny Cruz,,credit_reporting,,https://malegislature.gov/Bills/193/H1308
H1338,HD1939,An Act relative to electronic meetings and voting in condominiums,no,Kevin G. Honan,,electronic,,https://malegislature.gov/Bills/193/H1338
H1349,HD2259,An Act improving municipal access to general existing housing data,no,Kate Lipper-Garabedian,,data,,https://malegislature.gov/Bills/193/H1349
H1394,HD1243,An Act relative to law enforcement access to prescription monitoring data,no,F. Jay Barrows,,data,,https://malegislature.gov/Bills/193/H1394
H1405,HD1618,An Act relative to uniform real property electronic recordings,no,Daniel Cahill,,electronic,,https://malegislature.gov/Bills/193/H1405
H1422,HD3344,An Act relative to Trial Court data collection,no,Tackey Chan,,data,,https://malegislature.gov/Bills/193/H1422
H1433,HD135,An Act relative to the free flow of information,no,Josh S. Cutler,,information,,https://malegislature.gov/Bills/193/H1433
H1488,HD3717,An Act relative to unmanned aerial vehicles,no,Michael J. Finn,,drones,,https://malegislature.gov/Bills/193/H1488
H1490,HD3137,An Act relative to authorizing electronic signatures for criminal complaints,no,Carole A. Fiola,,electronic,,https://malegislature.gov/Bills/193/H1490
H1519,HD1368,An Act relative to locating missing persons via mobile data  (Kelsey's Bill),no,Colleen M. Garry,,data,,https://malegislature.gov/Bills/193/H1519
H1522,HD219,An Act relative to the Uniform Electronic Legal Material Act,no,Carmine Lawrence Gentile,,electronic,,https://malegislature.gov/Bills/193/H1522
H1545,HD93,An Act to simplify the administrative aspect of evidentiary use of medical information,no,Christopher Hendricks,,information,,https://malegislature.gov/Bills/193/H1545
H1555,HD3245,An Act establishing an internet bill of rights,no,Russell E. Holmes,,internet,,https://malegislature.gov/Bills/193/H1555
H1580,HD2039,An Act relative to the release of sex offender information to victims,no,"Bradley H. Jones, Jr.",,information,,https://malegislature.gov/Bills/193/H1580
H1582,HD2045,An Act relative to the enticement of children online,no,"Bradley H. Jones, Jr.",,online,,https://malegislature.gov/Bills/193/H1582
H1627,HD2193,An Act requiring the inclusion of certain civil rights offense information in the statewide domestic violence recordkeeping system,no,David Paul Linsky,,information,,https://malegislature.gov/Bills/193/H1627
H1641,HD1772,An Act for uniform fiduciary access to digital assets,no,Jay D. Livingstone,,digital,,https://malegislature.gov/Bills/193/H1641
H1653,HD2773,"An Act to protect private electronic communication, browsing and other activity",no,Jay D. Livingstone,,electronic,,https://malegislature.gov/Bills/193/H1653
H170,HD143,An Act requiring licensure for use of graduated electronic decelerators,no,William C. Galvin,,electronic,,https://malegislature.gov/Bills/193/H170
H1719,HD874,An Act relative to criminal offender record information checks,no,Edward R. Philips,,information,,https://malegislature.gov/Bills/193/H1719
H1723,HD109,An Act relative to legal advertisements in online-only newspapers,no,Smitty Pignatelli,,online,,https://malegislature.gov/Bills/193/H1723
H1733,HD1572,An Act expanding opportunities for individuals in the criminal offender record information system,no,David M. Rogers,,information,,https://malegislature.gov/Bills/193/H1733
H1748,HD343,An Act relative to access to a decedent's electronic mail accounts,no,Jeffrey N. Roy,,electronic,,https://malegislature.gov/Bills/193/H1748
H1762,HD3481,An Act relative to civil asset forfeiture transparency and data reporting,no,Danillo A. Sena,,data,,https://malegislature.gov/Bills/193/H1762
H1769,HD420,An Act relative to the use of administrative subpoenas to obtain telephone and internet records without judicial review,no,William M. Straus,,internet,,https://malegislature.gov/Bills/193/H1769
H1787,HD3444,An Act automatically sealing cannabis records and promoting uniform digital record keeping,no,Chynah Tyler,,digital,,https://malegislature.gov/Bills/193/H1787
H1802,HD1707,An Act improving juvenile justice data collection,no,Andres X. Vargas,,data,,https://malegislature.gov/Bills/193/H1802
H1841,HD1657,An Act protecting wages of employees who receive wages through an electronic wage card,no,Tackey Chan,,electronic,,https://malegislature.gov/Bills/193/H1841
H1859,HD195,An Act relative to improving PFML data reporting,no,Josh S. Cutler,,data,,https://malegislature.gov/Bills/193/H1859
H1862,HD1421,An Act relative to workforce data accessibility,no,Josh S. Cutler,,data,,https://malegislature.gov/Bills/193/H1862
H190,HD3257,An Act creating an electronic backpack for foster children’s educational records,no,Kay Khan,,electronic,,https://malegislature.gov/Bills/193/H190
H1939,HD3014,An Act relative to the confidentiality of communications of information of labor organizations,no,David Allen Robertson,,information,,https://malegislature.gov/Bills/193/H1939
H1974,HD676,An Act regulating the use of artificial intelligence (AI) in providing mental health services,no,Josh S. Cutler,,artificial_intelligence,,https://malegislature.gov/Bills/193/H1974
H2015,HD3971,An Act relative to the limited sharing of medical information with the family of mentally ill patients in emergency situations,no,Steven George Xiarhos,,information,,https://malegislature.gov/Bills/193/H2015
H210,HD914,An Act relative to the use of electronic benefit transfer cards with regard to online grocery delivery services,no,Edward R. Philips,,electronic;online,,https://malegislature.gov/Bills/193/H210
H2169,HD158,An Act relative to patient access to information regarding breast reconstructive surgery,no,William C. Galvin,,information,,https://malegislature.gov/Bills/193/H2169
H2307,HD499,An Act relative to crime gun data reporting and analysis,no,Marjorie C. Decker,,data,,https://malegislature.gov/Bills/193/H2307
H2332,HD1367,An Act relative to electronic defensive devices,no,Colleen M. Garry,,electronic,,https://malegislature.gov/Bills/193/H2332
H2341,HD87,An Act relative to the transparency of electronic weapons and devices,no,Christopher Hendricks,,electronic,,https://malegislature.gov/Bills/193/H2341
H2377,HD1247,An Act relative to armed private security information,no,Paul McMurtry,,information,,https://malegislature.gov/Bills/193/H2377
H2385,HD3375,An Act establishing a smart gun technology task force,no,Alice Hanlon Peisch,,technology,,https://malegislature.gov/Bills/193/H2385
H2453,HD3046,An Act relative to documentary material or data received by retirement boards,no,Daniel Cahill,,data,,https://malegislature.gov/Bills/193/H2453
H255,HD3034,An Act relative to establishing an online lottery,no,Daniel Cahill,,online,,https://malegislature.gov/Bills/193/H255
H2671,HD1035,An Act relative to electronic monitoring department personnel pension group classification,no,Steven Ultrino,,electronic,,https://malegislature.gov/Bills/193/H2671
H2751,HD261,An Act relative to the electronic filing of certain forms used in property valuation,no,Edward F. Coppinger,,electronic,,https://malegislature.gov/Bills/193/H2751
H2773,HD3991,An Act providing incentives to the digital interactive media/entertainment industries,no,Daniel M. Donahue,,digital,,https://malegislature.gov/Bills/193/H2773
H2787,HD3052,An Act relative to taxation of digital advertising services,no,Dylan A. Fernandes,,digital,,https://malegislature.gov/Bills/193/H2787
H2792,HD3371,An Act relative to qualified data centers in the Commonwealth,no,Michael J. Finn,,data,,https://malegislature.gov/Bills/193/H2792
H281,HD3727,An Act relative to the security of personal financial information,no,Michael S. Day,,information,,https://malegislature.gov/Bills/193/H281
H2814,HD3719,An Act relative to smart gun technology tax incentive program,no,Carlos González,,technology,,https://malegislature.gov/Bills/193/H2814
H2821,HD1507,An Act to establish a digital advertising revenue commission,no,Richard M. Haggerty,,digital,,https://malegislature.gov/Bills/193/H2821
H2828,HD3230,An Act establishing a tax for online advertising,no,Russell E. Holmes,,online,,https://malegislature.gov/Bills/193/H2828
H2847,HD1717,An Act relative to exempting small businesses from the telecommunications tax,no,"Bradley H. Jones, Jr.",,telecommunications,,https://malegislature.gov/Bills/193/H2847
H290,HD3509,An Act relative to the right to repair motor vehicle data law,no,Michael J. Finn,,data;right_to_repair,,https://malegislature.gov/Bills/193/H290
H2930,HD1683,An Act establishing a tax for online advertising,no,David M. Rogers,,online,,https://malegislature.gov/Bills/193/H2930
H2966,HD3144,An Act establishing a tax on local revenues from digital advertising,no,Erika Uyterhoeven,,digital,,https://malegislature.gov/Bills/193/H2966
H2972,HD662,An Act relative to preserving information content of historic resources with community preservation funds,no,David T. Vieira,,information,,https://malegislature.gov/Bills/193/H2972
H2993,HD2280,An Act relative to civil asset forfeiture data reporting,no,Nicholas A. Boldyga,,data,,https://malegislature.gov/Bills/193/H2993
H3021,HD2485,An Act relative to the technology fund,no,Kate Donaghue,,technology,,https://malegislature.gov/Bills/193/H3021
H3064,HD2057,An Act relative to online posting of CMRs,no,"Bradley H. Jones, Jr.",,online,,https://malegislature.gov/Bills/193/H3064
H3082,HD2231,An Act regarding information governance,no,Kate Lipper-Garabedian,,information,,https://malegislature.gov/Bills/193/H3082
H3179,HD1702,An Act relative to internet service provider data,no,"Bradley H. Jones, Jr.",,data;internet,,https://malegislature.gov/Bills/193/H3179
H319,HD94,An Act to clarify the Consumer Protection Act,no,Christopher Hendricks,,consumer_protection,,https://malegislature.gov/Bills/193/H319
H3191,HD1575,An Act encouraging advanced leak repair technology and renewable thermal energy infrastructure,no,Joan Meschino,,technology,,https://malegislature.gov/Bills/193/H3191
H3217,HD2804,An Act relative to consumer access to residential energy information,no,Jeffrey N. Roy,,information,,https://malegislature.gov/Bills/193/H3217
H3239,HD3425,An Act empowering library access to electronic books and digital audiobooks,no,Ruth B. Balser,,electronic;digital,,https://malegislature.gov/Bills/193/H3239
H3256,HD1075,"An Act regulating the flight of unmanned aircraft/drones in the airspace over all early, elementary and secondary education facilities in the Commonwealth",no,Bruce J. Ayers,,drones,,https://malegislature.gov/Bills/193/H3256
H3278,HD154,An Act relative to electronic license plates,no,Daniel Cahill,,electronic,,https://malegislature.gov/Bills/193/H3278
