bill,furthest_stage,terminal_class,terminal_ref,roll_calls,last_recorded_action,history_url
S2250,reporting_extended,sent_to_study,S2882,,"2024-07-19 Accompanied a study order, see S2882",https://malegislature.gov/Bills/193/S2250
S227,reporting_extended,superseded_by_redraft,H4632,,"2024-05-13 Accompanied a new draft, see H4632",https://malegislature.gov/Bills/193/S227
S2275,heard,superseded_by_redraft,H4450,,"2024-03-07 Accompanied a new draft, see H4450",https://malegislature.gov/Bills/193/S2275
S23,reported_favorably,died_no_further_action,,,2023-03-09 See H58,https://malegislature.gov/Bills/193/S23
S25,reporting_extended,superseded_by_redraft,S2770,,"2024-05-09 Accompanied a new draft, see S2770",https://malegislature.gov/Bills/193/S25
S2539,reported_favorably,died_no_further_action,,,2023-12-28 Bill reported favorably by committee and referred to the committee on Senate Ways and Means,https://malegislature.gov/Bills/193/S2539
S2600,reported_favorably,died_no_further_action,,,2024-07-22 Reported (in part) by S2884,https://malegislature.gov/Bills/193/S2600
S2604,reported_favorably,died_no_further_action,,,2024-07-22 Accompanied H4193,https://malegislature.gov/Bills/193/S2604
S2666,reported_favorably,died_no_further_action,,,2024-04-29 Committee recommended ought to pass and referred to the committee on Senate Ways and Means,https://malegislature.gov/Bills/193/S2666
S27,referred,sent_to_study,H4578,,"2024-05-06 Accompanied a study order, see H4578",https://malegislature.gov/Bills/193/S27
S2703,referred,died_no_further_action,,,"2024-03-21 Reprinted as amended, see S2710",https://malegislature.gov/Bills/193/S2703
S2710,referred,died_no_further_action,,,2024-03-22 See H4241,https://malegislature.gov/Bills/193/S2710
S2770,reported_favorably,died_no_further_action,,,2024-05-09 Bill reported favorably by committee and referred to the committee on Senate Ways and Means,https://malegislature.gov/Bills/193/S2770
S280,reported_favorably,died_no_further_action,,,2024-04-08 Bill reported favorably by committee and referred to the committee on Senate Ways and Means,https://malegislature.gov/Bills/193/S280
S2834,reported_favorably,died_no_further_action,,"2024-06-27 Amendment #1 (Durant) adopted -see Roll Call #193 (Yeas 39 to Nays 0); 2024-06-27 Amendment #25 (Tarr) rejected  -see Roll Call #194 (Yeas 6 to Nays 34); 2024-06-27 Amendment #4 (Moore) adopted -see Roll Call #195 (Yeas 39 to Nays 0); 2024-06-27 Amendment #5 (Tarr) adopted, as amended -see Roll Call #196 (Yeas 39 to Nays 0)",2024-06-27 See H4726,https://malegislature.gov/Bills/193/S2834
S2850,referred,died_no_further_action,,,2024-06-27 See H4726,https://malegislature.gov/Bills/193/S2850
S2884,enacted,enacted,"Signed by the Governor, Chapter 363 of the Acts of 2024",,"2025-01-08 Signed by the Governor, Chapter 363 of the Acts of 2024",https://malegislature.gov/Bills/193/S2884
S30,referred,superseded_by_redraft,S2539,,"2023-12-28 Accompanied a new draft, see S2539",https://malegislature.gov/Bills/193/S30
S343,heard,superseded_by_redraft,S2666,,"2024-04-01 Accompanied a new draft, see S2666",https://malegislature.gov/Bills/193/S343
S381,heard,superseded_by_redraft,S2604,,"2024-02-29 Accompanied a new draft, see S2604",https://malegislature.gov/Bills/193/S381
S844,heard,superseded_by_redraft,H4266,,"2024-01-22 Accompanied a new draft, see H4266",https://malegislature.gov/Bills/193/S844
S927,heard,superseded_by_redraft,H4359,,"2024-02-12 Accompanied a new draft, see H4359",https://malegislature.gov/Bills/193/S927
S938,reporting_extended,sent_to_study,S2926,,"2024-07-30 Accompanied a study order, see S2926",https://malegislature.gov/Bills/193/S938
S941,reporting_extended,superseded_by_redraft,H4833,,"2024-07-10 Accompanied a new draft, see H4833",https://malegislature.gov/Bills/193/S941
S943,heard,sent_to_study,S2612,,"2024-02-08 Accompanied a study order, see S2612",https://malegislature.gov/Bills/193/S943
S956,heard,superseded_by_redraft,H4356,,"2024-02-12 Accompanied a new draft, see H4356",https://malegislature.gov/Bills/193/S956
S971,heard,sent_to_study,S2612,,"2024-02-08 Accompanied a study order, see S2612",https://malegislature.gov/Bills/193/S971
