bill_number,title,domain_title_terms,broad_title_terms,committee_net,fetch_status,legislation_type,text_chars,text_terms,snippet
S1128,An Act updating the wiretap statutes in the Commonwealth,wiretap_interception,,,ok,Bill,13536,personal_information:1;surveillance:2;wiretap_interception:2;privacy_generic:1,", sounds, data or intelligence of any nature transmitted in whole or in part by using a cellular telephone, smartphone, personal data assistant or similar device, but shall not include: (i) any communication made through a tone-only paging device; (ii)"
S1141,An Act relative to the length of wiretap warrants,wiretap_interception,,,ok,Bill,453,,
S1368,An Act relative to patient identity and privacy protection in waiting rooms,privacy,,,ok,Bill,806,,
S140,An Act relative to protecting biometric information under the security breach law,biometric;data_security_breach,information,,ok,Bill,762,biometric:2;genetic_privacy:1,"ring in the 2020 Official Edition, is hereby amended by inserting after the second paragraph the following paragraph:- “Biometric indicator”, any unique biological attribute or measurement that can be used to authenticate the identity of an individu"
S148,"An Act protecting reproductive health access, LGBTQ lives, religious liberty, and freedom of movement by banning the sale of cell phone location information",location_data,information,,ok,Bill,16257,data_privacy:1;geolocation:54;opt_out_privacy:1;privacy_generic:9,"ing in the 2018 Official Edition, are hereby amended by inserting after chapter 93K the following chapter: CHAPTER 93L. Privacy Protections for Location Information Derived from Electronic Devices Section 1. Definitions As used in this chapter, the following"
S1528,An Act permitting familial searching and partial DNA matches in investigating certain unsolved crimes,genetic,,,ok,Bill,9509,privacy_generic:1,"ict law enforcement use of any DNA records disclosed by the lab as a result of the above search steps and to ensure the privacy of any individuals who are identified by the lab as potential familial leads; and, iv) the circumstances in which out-o"
S1551,An Act to promote transparency of facial recognition and driver's license photos,facial_recognition,,,ok,Bill,701,facial_recognition:2,"ing commonwealth investigative or law enforcement officers’ searches of driver’s license and ID photos through targeted face recognition. The notices, written information, and online information must address how officers' use and access targeted face recog"
S1554,An Act relative to lawfully owed DNA,genetic,,,ok,Bill,1331,,
S1587,An Act relative to the expansion of the state DNA database,genetic,,,ok,Bill,5688,,
S174,An Act to protect patient privacy and prevent unfair and deceptive advertising of pregnancy-related services,privacy,,,ok,Bill,15160,personal_information:19;privacy_generic:2,"ssessment of a health condition. “Collect”, buying, renting, gathering, obtaining, receiving or otherwise accessing any personal information pertaining to an individual by any means, including, but not limited to, obtaining information from an individual, eith"
S1892,An Act taxing the mental health impacts of social media,social_media,,,ok,Bill,12142,,
S1896,An Act to increase accountability in the sale of personal data,personal_information,data,,ok,Bill,6957,personal_information:14;biometric:1;sale_of_data:3,"foreign and domestic entities, that generates gross income of the business from selling or exchanging for consideration personal information of individuals located in the Commonwealth and has gross income attributable to the sale, or exchange for consideration"
S194,An Act to protect the privacy of lottery winners,privacy,,,ok,Bill,1082,record_nondisclosure:1,"law to the contrary, the name, address or other identifying information of any holder of a winning lottery ticket shall not be deemed public records of the commission and shall not be subject to section 10 of chapter 66. The commission shall not publicly disclose the"
S195,An Act to protect personal biometric data,biometric,data,J33,ok,Bill,7615,personal_information:1;data_privacy:1;biometric:48;genetic_privacy:1;privacy_generic:1,"ace of entertainment, a retail store, or a food and drink establishment. ""Confidential and sensitive information"" means personal information that can be used to uniquely identify an individual or an individual's account or property. Examples of confidential an"
S209,An Act to ensure driver privacy with electronic tolling,privacy,electronic,,ok,Bill,3206,,
S218,An Act ensuring internet security and privacy,privacy,internet,,ok,Bill,1204,personal_information:2,"eement, or otherwise operates in the commonwealth of Massachusetts may collect, use, disclose or otherwise disseminate, personal information from a customer resulting from the customer’s use of the telecommunications or internet service provider without expres"
S227,An Act establishing the Massachusetts Information Privacy and Security Act,privacy,information,J33,ok,Bill,109390,personal_information:246;data_privacy:8;data_broker:31;biometric:5;geolocation:5;genetic_privacy:3;sale_of_data:19;opt_out_privacy:12;security_breach:4;right_to_privacy:3;privacy_generic:48;record_nondisclosure:1,"etina or iris scan, fingerprint, voiceprint, map or scan of hand or face geometry, vein pattern, gait pattern, or other personal information generated from the specific technical processing of an individual’s unique biological or physiological patterns or char"
S25,An Act establishing the Massachusetts Data Privacy Protection Act,privacy;data_privacy_protection,data,J33,ok,Bill,90069,personal_information:11;data_privacy:5;data_broker:23;biometric:9;geolocation:4;facial_recognition:2;genetic_privacy:4;sale_of_data:1;opt_out_privacy:5;surveillance:1;electronic_monitoring:26;privacy_generic:49,reasonably necessary to enable the third party to provide a benefit to which the consumer is entitled; (ii)the sale of personal data to third parties is clearly disclosed in the terms of the program; and (iii)the third party uses the personal data only
S2539,An Act relative to cybersecurity and artificial intelligence,cybersecurity,artificial_intelligence,J33,ok,Bill,71043,personal_information:20;biometric:3;geolocation:5;genetic_privacy:3;data_protection:1;security_breach:18;surveillance:3;privacy_generic:1;record_nondisclosure:2,"provided, however, that such unauthorized acquisition or use compromises the security, confidentiality, or integrity of personal information maintained by a person or agency; and provided further, that a good faith but unauthorized acquisition of personal info"
S2770,An Act establishing the Massachusetts Data Privacy Act,privacy;data_privacy_protection,data,J33,ok,Bill,96447,personal_information:11;data_privacy:5;data_broker:22;biometric:7;geolocation:56;genetic_privacy:5;sale_of_data:1;opt_out_privacy:8;privacy_generic:51,"ividual’s freely given, specific, informed, and unambiguous agreement to allow the processing of specific categories of personal information relating to the individual for a narrowly defined particular purpose after having been informed, in response to a speci"
S280,An Act relative to student and educator data privacy,privacy;data_privacy_protection,data,,ok,Bill,20604,personal_information:4;data_privacy:5;biometric:1;geolocation:1;data_protection:1;security_breach:4;privacy_generic:11,"aphs; voice recordings; and persistent unique identifiers. “De-identified data”, records and information from which all personally identifiable information has been removed or obscured such that the remaining information does not reasonably identify a specific individual, in"
S2811,Enhancing Cybersecurity Protections and Response in the Commonwealth,cybersecurity,,,ok,Amendment,24471,security_breach:2;record_nondisclosure:2,"s through analysis in an automated manner; and (3) use model inference to formulate options for information or action. “Breach of security”, shall have the same meaning as defined in section 1 of chapter 93H. “Covered Entity"", shall mean (i) any governmental"
